N: 128, NPixels: 2, NBlocks: 64, Radius: 1, Threads: 256, Blocks: 512, GPGPU ST: 0.0024429, CT: 0.000108
N: 128, NPixels: 4, NBlocks: 32, Radius: 1, Threads: 256, Blocks: 512, GPGPU ST: 0.00158725, CT: 0.000108
N: 128, NPixels: 8, NBlocks: 16, Radius: 1, Threads: 256, Blocks: 512, GPGPU ST: 0.00154271, CT: 0.000161
N: 128, NPixels: 2, NBlocks: 64, Radius: 1, Threads: 512, Blocks: 512, GPGPU ST: 0.00214242, CT: 0.000108
N: 128, NPixels: 4, NBlocks: 32, Radius: 1, Threads: 512, Blocks: 512, GPGPU ST: 0.00180874, CT: 0.000149
N: 128, NPixels: 8, NBlocks: 16, Radius: 1, Threads: 512, Blocks: 512, GPGPU ST: 0.00136413, CT: 0.000117
N: 128, NPixels: 2, NBlocks: 64, Radius: 1, Threads: 1024, Blocks: 512, GPGPU ST: 0.0024191, CT: 0.000286
N: 128, NPixels: 4, NBlocks: 32, Radius: 1, Threads: 1024, Blocks: 512, GPGPU ST: 0.00162762, CT: 0.000108
N: 128, NPixels: 8, NBlocks: 16, Radius: 1, Threads: 1024, Blocks: 512, GPGPU ST: 0.00156757, CT: 0.000299
N: 128, NPixels: 2, NBlocks: 64, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00212431, CT: 0.000111
N: 128, NPixels: 4, NBlocks: 32, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00187337, CT: 0.000234
N: 128, NPixels: 8, NBlocks: 16, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00137285, CT: 0.000118
N: 128, NPixels: 2, NBlocks: 64, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.00219965, CT: 0.000122
N: 128, NPixels: 4, NBlocks: 32, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.00183533, CT: 0.000253
N: 128, NPixels: 8, NBlocks: 16, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.00141562, CT: 0.000113
N: 128, NPixels: 2, NBlocks: 64, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.00253891, CT: 0.000325
N: 128, NPixels: 4, NBlocks: 32, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.00162235, CT: 0.000108
N: 128, NPixels: 8, NBlocks: 16, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.0019742, CT: 0.000234
