N: 16, threads: 4, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 0.000147673
N: 32, threads: 4, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000184262
N: 64, threads: 4, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000294197
N: 128, threads: 4, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.000742525
N: 256, threads: 4, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00256166
N: 512, threads: 4, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.00978249
N: 1024, threads: 4, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.0395362
N: 16, threads: 4, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 0.000151638
N: 32, threads: 4, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 0.000161402
N: 64, threads: 4, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000223469
N: 128, threads: 4, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.00045004
N: 256, threads: 4, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.00134764
N: 512, threads: 4, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.0052627
N: 1024, threads: 4, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.0194339
N: 16, threads: 4, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 0.000165114
N: 32, threads: 4, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000184571
N: 64, threads: 4, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.000307498
N: 128, threads: 4, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.000836421
N: 256, threads: 4, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.00304486
N: 512, threads: 4, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.0115707
N: 1024, threads: 4, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.0448035
N: 16, threads: 8, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 0.000233385
N: 32, threads: 8, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 0.00025962
N: 64, threads: 8, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.00029735
N: 128, threads: 8, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.000415392
N: 256, threads: 8, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.000847611
N: 512, threads: 8, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.00257536
N: 1024, threads: 8, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.0100034
N: 16, threads: 8, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 0.000247699
N: 32, threads: 8, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000257028
N: 64, threads: 8, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000370676
N: 128, threads: 8, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.000616274
N: 256, threads: 8, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00163395
N: 512, threads: 8, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.0056524
N: 1024, threads: 8, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.0225332
N: 16, threads: 8, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 0.000252599
N: 32, threads: 8, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 0.000262162
N: 64, threads: 8, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000268083
N: 128, threads: 8, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.000423995
N: 256, threads: 8, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.000956822
N: 512, threads: 8, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.0036549
N: 1024, threads: 8, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.0110951
N: 16, threads: 8, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 0.000260441
N: 32, threads: 8, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000263513
N: 64, threads: 8, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.00032962
N: 128, threads: 8, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.00119691
N: 256, threads: 8, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.00180396
N: 512, threads: 8, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.00676602
N: 1024, threads: 8, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.0254306
N: 16, threads: 16, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 0.000388769
N: 32, threads: 16, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 0.000376664
N: 64, threads: 16, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.0020315
N: 128, threads: 16, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.000504072
N: 256, threads: 16, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.000812612
N: 512, threads: 16, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.00170199
N: 1024, threads: 16, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.0055853
N: 16, threads: 16, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 0.000390649
N: 32, threads: 16, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000426694
N: 64, threads: 16, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000481827
N: 128, threads: 16, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.000693315
N: 256, threads: 16, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00114666
N: 512, threads: 16, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.00329048
N: 1024, threads: 16, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.0122205
N: 16, threads: 16, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 0.000396267
N: 32, threads: 16, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 0.000425087
N: 64, threads: 16, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000440988
N: 128, threads: 16, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.000496449
N: 256, threads: 16, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.000775792
N: 512, threads: 16, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.00192264
N: 1024, threads: 16, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.00651278
N: 16, threads: 16, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 0.000431863
N: 32, threads: 16, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000405223
N: 64, threads: 16, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.000468795
N: 128, threads: 16, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.000584308
N: 256, threads: 16, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.00117674
N: 512, threads: 16, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.00367904
N: 1024, threads: 16, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.0138406
